"","df2$member_casual","hour(df2$started_at)","df2$ride_id"
"1","casual",0,23862
"2","member",0,12791
"3","casual",1,14890
"4","member",1,7222
"5","casual",2,7931
"6","member",2,3721
"7","casual",3,4206
"8","member",3,2340
"9","casual",4,3483
"10","member",4,3791
"11","casual",5,5546
"12","member",5,18474
"13","casual",6,13317
"14","member",6,59799
"15","casual",7,23846
"16","member",7,100954
"17","casual",8,32939
"18","member",8,109237
"19","casual",9,42405
"20","member",9,91671
"21","casual",10,61155
"22","member",10,96650
"23","casual",11,84480
"24","member",11,120503
"25","casual",12,103591
"26","member",12,142275
"27","casual",13,112525
"28","member",13,141161
"29","casual",14,119362
"30","member",14,141415
"31","casual",15,125754
"32","member",15,157688
"33","casual",16,133940
"34","member",16,189866
"35","casual",17,149869
"36","member",17,229558
"37","casual",18,135145
"38","member",18,199899
"39","casual",19,102721
"40","member",19,138360
"41","casual",20,71086
"42","member",20,83874
"43","casual",21,51806
"44","member",21,50434
"45","casual",22,46069
"46","member",22,35583
"47","casual",23,36876
"48","member",23,24168
