"","member_casual","start_weekname","number_of_rides","average_duration"
"1","casual","Sunday",278706,3053.4044584616
"2","casual","Monday",160437,2715.2761333109
"3","casual","Tuesday",158627,2477.4782161927
"4","casual","Wednesday",163295,2466.92202455678
"5","casual","Thursday",171461,2562.87158012609
"6","casual","Friday",222434,2615.88199645738
"7","casual","Saturday",351844,2817.00776196269
"8","member","Sunday",278734,1095.54064807307
"9","member","Monday",282837,921.198987402638
"10","member","Tuesday",303177,909.76888748157
"11","member","Wednesday",317753,915.274958851687
"12","member","Thursday",315424,908.341559297961
"13","member","Friday",327945,945.185220082636
"14","member","Saturday",335564,1070.21373866088
"15",NA,NA,148183,NA
